dev_quintile,avg_dev,avg_fwd_ret,avg_fwd_30m,n,symbol
1,-96.20500382119626,0.09761384510944723,0.2878570413601934,65608,BTCUSDT
2,-20.300152998094504,-0.0071100191629365145,-0.022460773910064725,65608,BTCUSDT
3,1.754849210300049,-0.02171202222091903,0.19565265256247893,65608,BTCUSDT
4,25.24209468749805,0.0911978447452494,0.39686419540182116,65608,BTCUSDT
5,109.67017455374936,0.10273269688010886,0.7595675840444279,65608,BTCUSDT
1,-134.23761759877615,-0.03914700279486475,-0.28612898706430395,65608,ETHUSDT
2,-28.96345656344173,-0.09717374673495545,-0.4726004103663199,65608,ETHUSDT
3,1.6531083841859824,-0.003230829145276261,0.1077837671211374,65608,ETHUSDT
4,34.05528712170837,0.1395496772884424,0.7994722434655516,65608,ETHUSDT
5,144.9957950581883,0.16253054068287362,0.868212789694309,65608,ETHUSDT
1,-197.42492810469082,0.33106086636881515,1.6435955226215813,65608,SOLUSDT
2,-53.26447339678292,-0.17375169887693157,-0.7028877342699301,65608,SOLUSDT
3,0.7214795901182299,-0.051194120822499266,-0.019402854719825394,65608,SOLUSDT
4,56.4990322552997,0.2855696341975767,1.1347874700013272,65608,SOLUSDT
5,218.96452044125553,0.13923883557287195,1.0929045246880116,65608,SOLUSDT
1,-201.7255347235817,0.09687238739823399,1.0524998431992207,65608,DOGEUSDT
2,-48.7950966715026,-0.10386268799177492,-0.3394947178010121,65608,DOGEUSDT
3,-0.07733930623956174,0.07311017343193793,0.2659773763003834,65608,DOGEUSDT
4,47.17793742605193,0.09950921677699401,0.121009062049137,65608,DOGEUSDT
5,202.90238756494838,0.11974219226884636,0.5514447992438599,65608,DOGEUSDT
1,-150.82373664770913,0.28844071476631117,1.4800440819694594,65608,XRPUSDT
2,-33.06598367893896,-0.09949021578816017,-0.30400875275628464,65608,XRPUSDT
3,3.5965719967345606,0.03942276034427671,0.3522974656056236,65608,XRPUSDT
4,42.71895094234928,0.08458982946970273,0.24719157126102143,65608,XRPUSDT
5,181.43365226433426,0.09654478011121606,0.7469707612967922,65608,XRPUSDT
